S.I,Question type,Question,Option_1,Option_2,Option_3,Option_4,Image,Currect answer,True_or Fals,Fill_ in the blanks ,Explanation,Hint,Marks,Negative,Difficulty_level
1,Objective,Volume  of water vapour in lower atmosphere is ,0-10%,11-14%,0-4%,10-15%,,C,,,,,,,
2,Objective,Troposphere extented up to the height from earth atmosphere is,20-55 km,8-18 km,5-20 km,30-80 km,,B,,,,,,,
3,Objective,Troposphere contain …....% of atmospheric mass,95%,80%,85%,99%,,C,,,,,,,
4,Objective,Temperature at tropopause is (0C),-10,-60,-100,-20,,B,,,,,,,
5,Objective,In stratosphere  temperature ….....with increase in height,Increase,decrease,same,increase then decrease,,A,,,,,,,
6,Objective,Stratosphere contain …...% of atmospheric mass,50,66,15,10,,C,,,,,,,
7,Objective,Stratosphere able to absorbs ,UV rays,Infared,gama rays,all,,A,,,,,,,
8,Objective,Weight of Carbon di oxide in atmosphere is,0.03%,0.30%,0.05%,0.03%,,C,,,,,,,
9,Objective,Long distance communication possible in,thermosphere,Ionosphere,Mesosphere,strastosphere,,B,,,,,,,
10,Objective,Value of solar constant is,1.94 cal/cm2/min,1.94 cal/m2/min,1.94 cal/ cm2/sec,1.94 cal/m2/sec,,A,,,,,,,
11,Objective,Cloudiness…... Ratio of diffused to direct eadiation,decrease,increase,has no effect,slightly effect,,B,,,,,,,
12,Objective,which radiation penetrates more effectively in plant canopies ,direct,diffused,both,none,,B,,,,,,,
13,Objective,Diffused radiation contains…...% of PAR,42%,45%,65%,62%,,C,,,,,,,
14,Objective,Below among which is effective reflectors,cloud,Fresh snow,sea,water surface,,B,,,,,,,
15,Objective,Earth absorbs solar radiation in …...waves and emits back in the form of ….,"Long, short","short, long","short, short","long,long",,B,,,,,,,
16,Objective,PAR is measured by,pyranometer,quantam sensor,radiometer,pyrheliometer,,B,,,,,,,
17,Objective,Terrestrial radiation measured by,Net radiometer,pyrgeometer,pyranometer,albedometer,,B,,,,,,,
18,Objective,Dry adiabatic lapse rate is (per km),6.5 0c,3.5 0c,10 0c,8 0c,,C,,,,,,,
19,Objective,Thermal conductivity of soil depends upon,texture,porosity,OM content,All,,D,,,,,,,
20,Objective,When soil ploughed thermal conductivity ,increase,decrease,no change,none,,B,,,,,,,
21,Objective,droplets size of drizzle is,less than 0.1 mm,less than 0.2 mm,less than 0.5 mm,0.5-1 mm,,C,,,,,,,
22,Objective,Freezing fog is,Glaze,rime,sleet,smog,,B,,,,,,,
23,Objective,Okta is used to measured,wind speed,rainfall intensity,cloud cover,Fog,,C,,,,,,,
24,Objective,Resemblence of sand on sea shore is associated with which cloud,cirro stratus,cirrus,alto stratus,cirro cumulus,,D,,,,,,,
25,Objective,Horse latitute is the latitude of,30-35 degree North,30-35 degree south,both,none,,C,,,,,,,
26,Objective,clouds which are tremendous towering with verticle range about 3-8 km are,cumulous,cumulo nimbus,nimbo stratus,cirro stratus,,B,,,,,,,
27,Objective,Thermal conductivity is higher in,Clay soil,loamy soil,sandy soil,same in all soils,,C,,,,,,,
28,Objective,For cold cloud seeding …...is used,NaCl,AgI,AgCl,NaI,,B,,,,,,,
29,Objective,Medium range forecasts are for a period of,2-10 days,3-14 days,3-30 days,10-60 days,,B,,,,,,,
30,Objective,Indian meteorological department was started in,1948,1890,1875,1965,,C,,,,,,,
31,Objective,Volume  of water vapour in lower atmosphere is ,0-10%,11-14%,0-4%,10-15%,,C,,,,,,,
32,Objective,Troposphere extented up to the height from earth atmosphere is,20-55 km,8-18 km,5-20 km,30-80 km,,B,,,,,,,
33,Objective,Troposphere contain …....% of atmospheric mass,95%,80%,85%,99%,,C,,,,,,,
34,Objective,Temperature at tropopause is (0C),-10,-60,-100,-20,,B,,,,,,,
35,Objective,In stratosphere  temperature ….....with increase in height,Increase,decrease,same,increase then decrease,,A,,,,,,,
36,Objective,Stratosphere contain …...% of atmospheric mass,50,66,15,10,,C,,,,,,,
37,Objective,Stratosphere able to absorbs ,UV rays,Infared,gama rays,all,,A,,,,,,,
38,Objective,Weight of Carbon di oxide in atmosphere is,0.03%,0.30%,0.05%,0.03%,,C,,,,,,,
39,Objective,Long distance communication possible in,thermosphere,Ionosphere,Mesosphere,strastosphere,,B,,,,,,,
40,Objective,Value of solar constant is,1.94 cal/cm2/min,1.94 cal/m2/min,1.94 cal/ cm2/sec,1.94 cal/m2/sec,,A,,,,,,,
41,Objective,Cloudiness…... Ratio of diffused to direct eadiation,decrease,increase,has no effect,slightly effect,,B,,,,,,,
